source,conference,forum,review_index,review_id,first_rating,first_timestamp,last_rating,last_timestamp
Chillee,iclr_2018,Hk6kPgZA-,0,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,Hk6kPgZA-,1,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,Hk6kPgZA-,2,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,ryQu7f-RZ,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,ryQu7f-RZ,1,,9,2017-12-03,8,2018-02-14
Chillee,iclr_2018,B17JTOe0-,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,B17JTOe0-,1,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,B17JTOe0-,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Hk2aImxAb,0,,10,2017-12-03,10,2018-02-14
Chillee,iclr_2018,Hk2aImxAb,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,Hk2aImxAb,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,HJsjkMb0Z,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,HJsjkMb0Z,1,,7,2017-12-03,8,2018-02-14
Chillee,iclr_2018,HJsjkMb0Z,2,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,HkL7n1-0b,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,HkL7n1-0b,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Skj8Kag0Z,0,,7,2017-12-03,4,2018-02-14
Chillee,iclr_2018,Skj8Kag0Z,1,,9,2017-12-03,7,2018-02-14
Chillee,iclr_2018,BJOFETxR-,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,BJOFETxR-,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,BJOFETxR-,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,S1JHhv6TW,0,,9,2017-12-03,8,2018-02-14
Chillee,iclr_2018,S1JHhv6TW,1,,7,2017-12-03,9,2018-02-14
Chillee,iclr_2018,Sk2u1g-0-,0,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,Sk2u1g-0-,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,Sk2u1g-0-,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,S19dR9x0b,0,,8,2017-12-03,7,2018-02-14
Chillee,iclr_2018,S19dR9x0b,1,,7,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Bk8ZcAxR-,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,Bk8ZcAxR-,1,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,Bk8ZcAxR-,2,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,Hkbd5xZRb,0,,7,2017-12-03,9,2018-02-14
Chillee,iclr_2018,Hkbd5xZRb,1,,8,2017-12-03,7,2018-02-14
Chillee,iclr_2018,H1q-TM-AW,0,,8,2017-12-03,7,2018-02-14
Chillee,iclr_2018,H1q-TM-AW,1,,7,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Skz_WfbCZ,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,Skz_WfbCZ,1,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,Skz_WfbCZ,2,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,H1Dy---0Z,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,H1Dy---0Z,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,H1Dy---0Z,2,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,HkfXMz-Ab,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,HkfXMz-Ab,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,HkfXMz-Ab,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rkPLzgZAZ,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,rkPLzgZAZ,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,rkPLzgZAZ,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,HktK4BeCZ,0,,7,2017-12-03,10,2018-02-14
Chillee,iclr_2018,HktK4BeCZ,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,BJ0hF1Z0b,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,BJ0hF1Z0b,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,BJ0hF1Z0b,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,BJJLHbb0-,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,BJJLHbb0-,1,,6,2017-12-03,8,2018-02-14
Chillee,iclr_2018,BJJLHbb0-,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,SJ-C6JbRW,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,SJ-C6JbRW,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SJ-C6JbRW,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,BJIgi_eCZ,0,,8,2017-12-03,7,2018-02-14
Chillee,iclr_2018,BJIgi_eCZ,1,,7,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Sy-dQG-Rb,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Sy-dQG-Rb,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,Sy-dQG-Rb,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,BkwHObbRZ,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,BkwHObbRZ,1,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,BkwHObbRZ,2,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,BJE-4xW0W,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,BJE-4xW0W,1,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,BJE-4xW0W,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,BJ8vJebC-,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,BJ8vJebC-,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,BJ8vJebC-,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,Hy7fDog0b,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Hy7fDog0b,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,Hy7fDog0b,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,B1QRgziT-,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,B1QRgziT-,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,B1QRgziT-,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,r1Dx7fbCW,0,,8,2017-12-03,7,2018-02-14
Chillee,iclr_2018,r1Dx7fbCW,1,,7,2017-12-03,8,2018-02-14
Chillee,iclr_2018,r1Dx7fbCW,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SkA-IE06W,0,,9,2017-12-03,8,2018-02-14
Chillee,iclr_2018,SkA-IE06W,1,,5,2017-12-03,9,2018-02-14
Chillee,iclr_2018,SyZI0GWCZ,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,SyZI0GWCZ,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SyZI0GWCZ,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,H1zriGeCZ,0,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,H1zriGeCZ,1,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,H1zriGeCZ,2,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,B1gJ1L2aW,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,B1gJ1L2aW,1,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,B1gJ1L2aW,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,rkYTTf-AZ,0,,8,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rkYTTf-AZ,1,,6,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rkYTTf-AZ,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,SyzKd1bCW,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,SyzKd1bCW,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SyzKd1bCW,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,HkwBEMWCZ,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,HkwBEMWCZ,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,HkwBEMWCZ,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Byt3oJ-0W,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,Byt3oJ-0W,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,Byt3oJ-0W,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Bys4ob-Rb,0,,5,2017-12-03,5,2018-02-14
Chillee,iclr_2018,Bys4ob-Rb,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Bys4ob-Rb,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,SkT5Yg-RZ,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,SkT5Yg-RZ,1,,5,2017-12-03,5,2018-02-14
Chillee,iclr_2018,SkT5Yg-RZ,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Hkn7CBaTW,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,Hkn7CBaTW,1,,9,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Hkn7CBaTW,2,,7,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Bk9zbyZCZ,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,Bk9zbyZCZ,1,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,Bk9zbyZCZ,2,,6,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SJA7xfb0b,0,,6,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SJA7xfb0b,1,,8,2017-12-03,6,2018-02-14
Chillee,iclr_2018,rkgOLb-0W,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rkgOLb-0W,1,,6,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rkgOLb-0W,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,ry6-G_66b,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,ry6-G_66b,1,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,ry6-G_66b,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,ryH20GbRW,0,,7,2017-12-03,8,2018-02-14
Chillee,iclr_2018,ryH20GbRW,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,ryH20GbRW,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,HyydRMZC-,0,,8,2017-12-03,9,2018-02-14
Chillee,iclr_2018,HyydRMZC-,1,,6,2017-12-03,7,2018-02-14
Chillee,iclr_2018,HyydRMZC-,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,By4HsfWAZ,0,,7,2017-12-03,6,2018-02-14
Chillee,iclr_2018,By4HsfWAZ,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,HkTEFfZRb,0,,7,2017-12-03,6,2018-02-14
Chillee,iclr_2018,HkTEFfZRb,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rkcQFMZRb,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rkcQFMZRb,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rkcQFMZRb,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SJlhPMWAW,0,,7,2017-12-03,5,2018-02-14
Chillee,iclr_2018,SJlhPMWAW,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rJYFzMZC-,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,rJYFzMZC-,1,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,rJYFzMZC-,2,,4,2017-12-03,6,2018-02-14
Chillee,iclr_2018,B1Lc-Gb0Z,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,B1Lc-Gb0Z,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,B1Lc-Gb0Z,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,H1mCp-ZRZ,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,H1mCp-ZRZ,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,H1mCp-ZRZ,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SJJySbbAZ,0,,8,2017-12-03,6,2018-02-14
Chillee,iclr_2018,SJJySbbAZ,1,,6,2017-12-03,8,2018-02-14
Chillee,iclr_2018,ry-TW-WAb,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,ry-TW-WAb,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,ry-TW-WAb,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,B1hcZZ-AW,0,,9,2017-12-03,4,2018-02-14
Chillee,iclr_2018,B1hcZZ-AW,1,,5,2017-12-03,9,2018-02-14
Chillee,iclr_2018,HyiAuyb0b,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,HyiAuyb0b,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,HyiAuyb0b,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,Syhr6pxCW,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,Syhr6pxCW,1,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,Syhr6pxCW,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,HkCsm6lRb,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,HkCsm6lRb,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,HkCsm6lRb,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rJBiunlAW,0,,7,2017-12-03,4,2018-02-14
Chillee,iclr_2018,rJBiunlAW,1,,7,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Skdvd2xAZ,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,Skdvd2xAZ,1,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,Skdvd2xAZ,2,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,BJRZzFlRb,0,,6,2017-12-03,7,2018-02-14
Chillee,iclr_2018,BJRZzFlRb,1,,8,2017-12-03,6,2018-02-14
Chillee,iclr_2018,SyJS-OgR-,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SyJS-OgR-,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SyJS-OgR-,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,B1Gi6LeRZ,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,B1Gi6LeRZ,1,,4,2017-12-03,4,2018-02-14
Chillee,iclr_2018,B1Gi6LeRZ,2,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,SJaP_-xAb,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,SJaP_-xAb,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,SJaP_-xAb,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,Hy6GHpkCW,0,,5,2017-12-03,5,2018-02-14
Chillee,iclr_2018,Hy6GHpkCW,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Hy6GHpkCW,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,HJzgZ3JCW,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,HJzgZ3JCW,1,,6,2017-12-03,7,2018-02-14
Chillee,iclr_2018,HJzgZ3JCW,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SJyEH91A-,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SJyEH91A-,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SJyEH91A-,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SyyGPP0TZ,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SyyGPP0TZ,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rJWechg0Z,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,rJWechg0Z,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rJWechg0Z,2,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,HkAClQgA-,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,HkAClQgA-,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,HkAClQgA-,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,BkisuzWRW,0,,5,2017-12-03,7,2018-02-14
Chillee,iclr_2018,BkisuzWRW,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,BkisuzWRW,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,H1tSsb-AW,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,H1tSsb-AW,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,H1tSsb-AW,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,H1MczcgR-,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,H1MczcgR-,1,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,H1MczcgR-,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rk6qdGgCZ,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rk6qdGgCZ,1,,6,2017-12-03,4,2018-02-14
Chillee,iclr_2018,rk6qdGgCZ,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Skp1ESxRZ,0,,5,2017-12-03,5,2018-02-14
Chillee,iclr_2018,Skp1ESxRZ,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Skp1ESxRZ,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,B1n8LexRZ,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,B1n8LexRZ,1,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,B1n8LexRZ,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rkQkBnJAb,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,rkQkBnJAb,1,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,rkQkBnJAb,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Sk7KsfW0-,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,Sk7KsfW0-,1,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,Sk7KsfW0-,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,HkNGsseC-,0,,8,2017-12-03,6,2018-02-14
Chillee,iclr_2018,HkNGsseC-,1,,6,2017-12-03,8,2018-02-14
Chillee,iclr_2018,BJGWO9k0Z,0,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,BJGWO9k0Z,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,BJGWO9k0Z,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,HJGv1Z-AW,0,,5,2017-12-03,5,2018-02-14
Chillee,iclr_2018,HJGv1Z-AW,1,,6,2017-12-03,7,2018-02-14
Chillee,iclr_2018,HJGv1Z-AW,2,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,ByRWCqvT-,0,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,ByRWCqvT-,1,,6,2017-12-03,7,2018-02-14
Chillee,iclr_2018,ByRWCqvT-,2,,5,2017-12-03,5,2018-02-14
Chillee,iclr_2018,S1ANxQW0b,0,,6,2017-12-03,5,2018-02-14
Chillee,iclr_2018,S1ANxQW0b,1,,7,2017-12-03,6,2018-02-14
Chillee,iclr_2018,Sy0GnUxCb,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,Sy0GnUxCb,1,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,Sy0GnUxCb,2,,3,2017-12-03,3,2018-02-14
Chillee,iclr_2018,HktJec1RZ,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,HktJec1RZ,1,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,HktJec1RZ,2,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,HJewuJWCZ,0,,5,2017-12-03,5,2018-02-14
Chillee,iclr_2018,HJewuJWCZ,1,,7,2017-12-03,8,2018-02-14
Chillee,iclr_2018,HJewuJWCZ,2,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,r1gs9JgRZ,0,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,r1gs9JgRZ,1,,5,2017-12-03,5,2018-02-14
Chillee,iclr_2018,r1gs9JgRZ,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,H1wt9x-RW,0,,4,2017-12-03,4,2018-02-14
Chillee,iclr_2018,H1wt9x-RW,1,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,H1wt9x-RW,2,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,r1iuQjxCZ,0,,9,2017-12-03,9,2018-02-14
Chillee,iclr_2018,r1iuQjxCZ,1,,5,2017-12-03,5,2018-02-14
Chillee,iclr_2018,r1iuQjxCZ,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rJ33wwxRb,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,rJ33wwxRb,1,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,rJ33wwxRb,2,,5,2017-12-03,7,2018-02-14
Chillee,iclr_2018,H1meywxRW,0,,8,2017-12-03,8,2018-02-14
Chillee,iclr_2018,H1meywxRW,1,,6,2017-12-03,6,2018-02-14
Chillee,iclr_2018,H1meywxRW,2,,7,2017-12-03,7,2018-02-14
Chillee,iclr_2018,SyfiiMZA-,0,,4,2017-12-03,5,2018-02-14
Chillee,iclr_2018,SyfiiMZA-,1,,9,2017-12-03,4,2018-02-14
Chillee,iclr_2018,BJk7Gf-CZ,0,,5,2017-12-03,5,2018-02-14
Chillee,iclr_2018,BJk7Gf-CZ,1,,8,2017-12-03,8,2018-02-14
